Product ID,Name,Price,Quantity,Category,Description,Production Date,Expiration Date,Rating,Status
17,Сельдерей,4655,613,Овощи,"Отличается высоким содержанием антоцианов, пигментов, обладающих антиоксидантными и противовоспалительными свойствами.",1998-02-09,2006-06-17,2.68,Out of Stock
18,Мордовская,4614,994,Напитки,"Универсальный продукт, который можно использовать в приготовлении как сладких, так и соленых блюд.",2008-05-12,2020-01-01,0.99,Pending
19,Pepsi Max,5198,9,Напитки,Помогает снизить риск развития сердечно-сосудистых заболеваний.,2002-01-11,2010-04-15,2.76,Cancelled
20,Смородина,966,532,Фрукты,"Обладает антиоксидантными свойствами, защищающими клетки от повреждений.",2016-01-03,2030-06-02,4.52,Out of Stock
21,Компот из сухофруктов,7183,694,Напитки,"Помогает поддерживать нормальный уровень зеаксантина, каротиноида, важного для здоровья глаз.",2003-03-02,2010-03-12,2.09,New
22,Хамон,5681,764,Мясо,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2014-03-03,2026-02-06,4.66,Returned
23,Чеснок,7948,433,Овощи,Придает блюдам особую нежность и насыщенность.,1993-09-02,2025-02-19,2.22,Backorder
24,Каша из риса дикого,8278,901,Бакалея,Подходит для использования в специализированных диетах и лечебных программах.,2007-03-19,2020-01-01,4.14,New
25,Гуляш,5355,672,Мясо,"Отличается высоким содержанием хлорогеновых кислот, веществ, способствующих снижению веса и контролю уровня сахара в крови.",1999-02-15,2021-02-14,2.35,New
26,Репа,6023,517,Овощи,Помогает предотвратить дефицит витаминов и минералов в организме.,2020-02-18,2027-04-01,0.1,Out of Stock
27,Чай черный,239,513,Напитки,"Отличается высоким содержанием витамина C, необходимого для здоровья кожи и иммунной системы.",2018-01-07,2026-08-01,3.02,New
28,Папайя,3145,112,Фрукты,Подходит для использования в качестве замены традиционных молочных продуктов.,1996-01-10,2003-02-01,1.71,Delivered
29,Пакеты для пляжа,7732,180,Товары для дома,Отличается простотой в использовании и хранении.,1998-09-01,2009-04-10,4.25,New
30,Пастрома,5375,791,Мясо,"Отличается высоким содержанием таурина, необходимого для здоровья глаз и сердца.",2001-01-08,2007-06-02,1.51,Delivered
31,Черешня,3738,165,Фрукты,Прошел тщательный отбор сырья и контроль на каждом этапе производства.,1993-06-11,1999-03-05,3.31,Pending
32,Лимон,2986,138,Фрукты,"Может использоваться как основа для приготовления домашних йогуртов, сыров и других молочных продуктов.",2022-09-02,2025-09-14,0.62,Temporarily Unavailable
33,Каша из дробленой ячменя,4214,484,Бакалея,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",1994-04-13,2009-03-18,2.4,Awaiting Payment
34,Вилки,5856,383,Товары для дома,"Отличается высоким содержанием эллаговой кислоты, вещества, обладающего противораковыми свойствами.",1998-05-02,2012-03-08,4.7,Pending
35,Пакеты пластиковые,9925,531,Товары для дома,Помогает нормализовать артериальное давление и уровень холестерина.,1998-07-17,2023-06-01,3.25,Delivered
36,Хурма,1311,640,Фрукты,Помогает укрепить иммунную систему и защитить организм от инфекций.,1998-05-20,2005-06-02,1.6,New
37,Варенец,6430,819,Молочные продукты,"Обладает антиоксидантными свойствами, защищающими клетки от повреждений.",2014-09-01,2018-01-25,0.43,In Stock
38,Голова,6277,669,Мясо,Способствует снижению уровня стресса и улучшению настроения.,2018-06-11,2028-04-03,0.96,New
39,Спаржа,5361,963,Овощи,"Отличается высоким содержанием витамина C, необходимого для здоровья кожи и иммунной системы.",2017-01-15,2026-04-04,0.47,In Stock
40,Кесадилья с мясом,6126,207,Мясо,"Помогает поддерживать нормальный уровень дофамина, гормона, отвечающего за мотивацию и удовольствие.",2020-02-02,2020-02-07,2.86,Awaiting Payment
41,Родники Алтая,1132,783,Напитки,Идеален для перекусов между основными приемами пищи.,1999-02-05,2012-01-03,1.38,Awaiting Review
42,Чебуреки,6850,170,Мясо,"Помогает поддерживать нормальный уровень индолов, веществ, способных защищать от рака.",2002-01-05,2023-03-18,3.5,Available for Pickup
43,Тимьян сушеный,9723,854,Бакалея,"Помогает поддерживать нормальный уровень цистеина, аминокислоты, участвующей в синтезе глутатиона.",2018-01-01,2025-01-07,2.11,Awaiting Payment
44,Черника,1158,870,Фрукты,"Помогает поддерживать нормальный уровень тиреоидных гормонов, регулирующих обмен веществ.",2022-04-01,2024-01-06,4.01,In Stock
45,Тмин молотый,5663,152,Бакалея,"Подходит для людей всех возрастов, включая детей и пожилых.",1994-10-03,2007-07-19,3.13,Out of Stock
46,Черный перец горошком,1339,866,Бакалея,Является важным элементом спортивного питания для восстановления после тренировок.,2012-05-04,2025-05-17,4.53,Delivered
47,Крыжовник,5542,851,Фрукты,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1993-08-06,2026-04-10,0.71,Sold
48,Пакеты для Всемирного дня книг,5016,408,Товары для дома,"Помогает поддерживать нормальный уровень индолов, веществ, способных защищать от рака.",2006-11-21,2028-05-05,0.98,Delivered
49,Каша из перловки,7216,59,Бакалея,Отличается натуральным составом и отсутствием искусственных добавок.,1994-01-04,2020-07-08,0.09,On Backorder
50,Спаржа,2836,858,Овощи,"Отличается высоким содержанием пиридоксина, необходимого для синтеза нейромедиаторов.",2005-03-06,2009-05-08,3.16,Cancelled
51,Севастопольская,3773,379,Напитки,Является важным элементом спортивного питания для восстановления после тренировок.,1995-01-24,1998-03-01,1.34,New
52,Груша,537,750,Фрукты,"Легко усваивается организмом, обеспечивая быстрое насыщение и энергию.",2004-01-08,2021-01-06,0.78,Temporarily Unavailable
53,Мацони,5762,944,Молочные продукты,Улучшает настроение и общее самочувствие благодаря содержанию триптофана.,2006-07-01,2011-02-11,4.89,Temporarily Unavailable
54,Дыня,8595,332,Фрукты,"Подходит для людей, следящих за своим весом, благодаря низкому содержанию калорий.",2015-12-03,2020-01-05,0.91,Pending
55,Дыня,857,411,Фрукты,Помогает поддерживать здоровый цвет лица и упругость кожи.,2014-04-03,2015-01-02,1.28,Out of Stock
56,Пакеты для мастер-класса,3545,805,Товары для дома,"Отличается низким содержанием жира, что делает его подходящим для тех, кто следит за фигурой.",2009-04-08,2030-03-02,0.42,Refunded
57,Термосы,1649,563,Товары для дома,Способствует нормализации обмена веществ в организме.,2016-10-09,2018-04-15,0.65,Sold
58,Тушенка,1616,588,Мясо,Часто рекомендуется врачами-диетологами как часть здорового питания.,2009-07-12,2018-06-05,0.74,Awaiting Payment
59,Пакеты для Всемирного дня здоровья,7004,552,Товары для дома,Может использоваться в вегетарианской диете как источник белка.,2016-06-13,2024-05-12,4.85,Refunded
60,Кабачок,6477,784,Овощи,Отличается стабильностью вкуса и качества в течение всего срока хранения.,2019-01-03,2029-03-03,4.76,Sold
61,Кокос,1899,83,Фрукты,Помогает поддерживать нормальный уровень холестерина в крови.,2010-06-04,2021-01-06,3.51,Cancelled
62,Ласси,2739,279,Молочные продукты,Помогает поддерживать нормальный уровень тестостерона у мужчин.,2012-01-09,2024-02-04,4.82,Delivered
63,Наборы столовых приборов,7637,339,Товары для дома,"Не содержит консервантов и красителей, что делает его экологически чистым продуктом.",2005-07-06,2007-07-06,2.24,New
64,Баранина,2537,562,Мясо,"Является источником важных микроэлементов, таких как магний и калий.",1993-04-03,1999-04-07,4.22,Shipping
65,Камут,2658,61,Бакалея,Отличается высоким уровнем биологической доступности питательных веществ.,2002-04-13,2015-05-05,1.06,Awaiting Review
66,Варенец,5096,106,Молочные продукты,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2021-03-07,2030-06-10,0.98,Cancelled
67,Тульская,265,586,Напитки,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",1996-03-17,2028-09-04,3.25,Pending
68,Мыло твердое,1864,576,Товары для дома,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2000-02-18,2011-06-02,4.88,Backorder
69,Шубат,5054,653,Молочные продукты,Помогает предотвратить развитие остеопороза благодаря высокому содержанию кальция.,1995-07-01,2017-04-01,3.84,Backorder
70,Патиссон,2672,108,Овощи,"Отличается высоким содержанием таурина, необходимого для здоровья глаз и сердца.",2004-04-01,2014-02-17,0.68,Returned
71,Ананас,4385,40,Фрукты,Помогает поддерживать нормальный уровень холестерина в крови.,2008-06-03,2024-07-02,3.79,Delivered
72,Мандарин,3452,597,Фрукты,Помогает поддерживать здоровый цвет лица и упругость кожи.,2001-01-11,2029-02-02,2.62,New
73,Ложки столовые,8303,90,Товары для дома,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2003-04-02,2028-04-03,1.2,Sold
74,Пакеты для Всемирного дня здоровья,2133,345,Товары для дома,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2001-03-04,2011-03-03,1.82,Cancelled
75,Яблоко,2718,803,Фрукты,Является важным элементом спортивного питания для восстановления после тренировок.,2015-04-16,2025-01-06,1.55,Sold
76,Березовский родник,845,322,Напитки,"Отличается приятным ароматом, который усиливает аппетит.",2017-07-01,2019-05-01,3.5,Awaiting Payment
77,Малина,332,886,Фрукты,"Универсальный продукт, который можно использовать в приготовлении как сладких, так и соленых блюд.",2014-03-08,2029-01-08,0.75,Sold
78,Щавель,8362,941,Овощи,Отличается высокой усвояемостью и не вызывает дискомфорта в желудке.,2021-11-05,2022-07-26,0.65,Refunded
79,Репа,1973,514,Овощи,"Является источником важных микроэлементов, таких как магний и калий.",2007-01-05,2017-04-12,1.36,Out of Stock
80,Огурец,5484,605,Овощи,Высокое содержание белка обеспечивает длительное чувство сытости и способствует поддержанию мышечной массы.,2003-07-22,2029-04-17,2.42,Temporarily Unavailable
81,Овсянка,7558,595,Бакалея,Помогает поддерживать нормальный уровень сахара в крови.,2006-01-02,2010-01-01,1.02,Cancelled
82,Каша из камута,5600,797,Бакалея,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2000-06-15,2011-01-18,4.54,Out of Stock
83,Пакеты для пляжа,9696,571,Товары для дома,Прошел клинические испытания и рекомендован специалистами в области здравоохранения.,2005-05-01,2029-01-14,3.73,New
84,Каша из дробленной гречки,692,409,Бакалея,"Является источником важных нутриентов, необходимых для роста и развития детей.",1993-02-23,2001-04-07,1.98,Available for Pickup
85,Имбирь молотый,1832,406,Бакалея,Помогает улучшать качество сна и снижать уровень тревожности.,1992-05-01,2013-01-03,2.0,Temporarily Unavailable
86,Хурма,5796,823,Фрукты,Помогает сохранять бодрость и активность в течение дня.,1996-03-18,2025-04-12,2.62,Refunded
87,Черника,5852,756,Фрукты,Подходит для использования в качестве замены традиционных молочных продуктов.,1991-03-21,1991-06-13,0.51,Available for Pickup
88,Моцарелла,7751,518,Молочные продукты,Является важным компонентом рациона для поддержания гормонального баланса.,1991-10-05,2016-08-03,2.35,New
89,Энергетический напиток,6430,755,Напитки,"Отличается высоким содержанием хлорогеновых кислот, веществ, способствующих снижению веса и контролю уровня сахара в крови.",2018-04-19,2025-09-07,2.69,New
90,Забайкальская,510,631,Напитки,Помогает поддерживать нормальный уровень эстрогенов у женщин.,2011-01-02,2029-07-03,2.14,Sold
91,Моцарелла,5999,269,Молочные продукты,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",1991-09-12,2013-06-12,1.29,Returned
92,Мак семена,7200,742,Бакалея,Помогает поддерживать нормальный уровень энергии и выносливости.,2021-06-01,2026-01-01,0.18,Awaiting Review
93,Бастурма,1522,444,Мясо,Высокое содержание белка обеспечивает длительное чувство сытости и способствует поддержанию мышечной массы.,2020-04-27,2021-01-12,2.29,Sold
94,Тефтели,7753,390,Мясо,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",1998-08-13,2007-04-07,2.78,Shipping
95,Петрушка сушеная,1312,754,Бакалея,"Помогает поддерживать нормальный уровень дофамина, гормона, отвечающего за мотивацию и удовольствие.",1994-01-26,2026-06-03,1.97,Awaiting Payment
96,Lipton Ice Tea,4990,399,Напитки,"Отличается высоким содержанием пиридоксина, необходимого для синтеза нейромедиаторов.",2007-03-12,2025-05-04,3.19,Backorder
97,Хинкали,4475,211,Мясо,"Обеспечивает организм необходимыми жирами, белками и углеводами.",1990-01-03,2014-01-02,4.91,Cancelled
98,Российский сыр,1857,475,Молочные продукты,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2009-04-01,2014-07-03,2.47,Pending
99,Нектарин,7123,172,Фрукты,"Помогает поддерживать нормальный уровень метионина, аминокислоты, необходимой для детоксикации организма.",2008-01-26,2019-01-01,3.98,On Backorder
100,Кесадилья с мясом,8970,604,Мясо,Отличается хорошей совместимостью с другими продуктами питания.,1997-05-05,2018-03-01,2.19,Sold
101,Моющее средство для пола,6397,288,Товары для дома,Отличается низкой калорийностью и высоким содержанием белка.,2003-01-02,2030-02-11,0.09,Backorder
102,Зубная паста,8387,995,Товары для дома,"Отличается высоким содержанием биотина, необходимого для здоровья волос, кожи и ногтей.",1995-03-18,2000-06-03,1.26,Refunded
103,Подставки под столовые приборы,6037,13,Товары для дома,Способствует снижению уровня стресса и улучшению настроения.,2020-11-13,2021-01-06,3.9,Cancelled
104,Смородина,9969,38,Фрукты,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2010-01-01,2018-05-05,2.61,Pending
105,Кабачок,1584,899,Овощи,Помогает поддерживать нормальный обмен веществ и метаболизм.,2007-02-14,2008-04-08,4.42,On Backorder
106,Пакеты для Дня Победы,542,324,Товары для дома,"Помогает поддерживать нормальный уровень аллицина, вещества, обладающего антибактериальными и противогрибковыми свойствами.",2019-05-03,2027-11-01,0.44,Backorder
107,Гауда,3505,471,Молочные продукты,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2002-04-05,2015-02-23,2.73,New
108,Сорго,2748,482,Бакалея,Помогает поддерживать нормальный уровень холестерина в крови.,2016-01-19,2029-02-04,0.7,Shipping
109,Хинкали,8048,947,Мясо,Прошел строгий контроль качества на всех этапах производства.,2015-05-04,2020-02-26,0.03,Pending
110,Инжир,555,614,Фрукты,Отличается высоким уровнем биологической доступности питательных веществ.,1991-10-10,2017-01-08,3.88,Backorder
111,Каша из кукурузной муки,6294,802,Бакалея,"Помогает поддерживать нормальный уровень норадреналина, гормона, влияющего на настроение и поведение.",2019-04-03,2028-12-12,1.8,Sold
112,Моцарелла,3274,947,Молочные продукты,"Отличается высоким содержанием инозитола, необходимого для здоровья нервной системы.",2011-02-08,2014-01-07,3.64,Backorder
113,Курт,9614,426,Молочные продукты,"Обеспечивает организм необходимыми жирами, белками и углеводами.",1994-02-14,2009-01-20,2.29,In Stock
114,Лен семена,5417,510,Бакалея,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",2020-01-03,2029-06-01,0.45,Awaiting Review
